releaseid,releasename,institutionid,departmentid,taxonomylevel01id,institutionname,departmentname,numfac,taxonomylevel01name,ranknumfac,facthreshold,totpubs,rankjpubs,hasjpub,rankhasjpub,jppauth,rjppauth,totcits,rankcits,hascit,rankhascits,pauthcit,rpauthci,hasgrnt,rankhasgrant,totgno,ranknumgrnts,totgdol,rankgrntdols,totawds,rankawds,hasawd,rankhasawd,totbooks,rankbooks,hasbook,rankhasbook,awdwt,grntwt,bookswt,citswt,pubswt,pfacbp,b1,rb1,pb1,BPA,bppfac,b2,rb2,pb2,pfacjp,p1,rp1,pp1,jppfac,p2,rp2,pp2,pfacc,p3,rp3,pp3,cpfac,p4,rp4,pp4,cpp,p5,rp5,pp5,pfacgrnt,g1,rg1,pg1,gpfac,g2,rg2,pg2,gdpfac,g3,rg3,pg3,dolpgrnt,g4,rg4,pg4,awdpfac,a1,ra1,pa1,pfacawd,a2,ra2,pa2,meanrnk,CustIndex,RankCustIndex,pfsp,campusrank,general,zscore_hasawd,zscore_hasbook,zscore_hascit,zscore_hasgrnt,zscore_hasjpub,zscore_jppauth,zscore_pauthcit,zscore_totawds,zscore_totbooks,zscore_totcits,zscore_totgdol,zscore_totgno,zscore_totpubs,zscore_numfac,pct_hasawd,pct_hasbook,pct_hascit,pct_hasgrnt,pct_hasjpub,pct_jppauth,pct_pauthcit,pct_totawds,pct_totbooks,pct_totcits,pct_totgdol,pct_totgno,pct_totpubs,pct_numfac,departmentsindiscipline,createddate,totconfproc,hasconfproc,perauthorconfproc,perfacultyconfproc,pctfacultyconfproc,rank_hasconfproc,rank_perauthorconfproc,rank_totconfproc,rank_perfacultyconfproc,rank_pctfacultyconfproc,zscore_hasconfproc,zscore_perauthorconfproc,zscore_totconfproc,zscore_perfacultyconfproc,zscore_pctfacultyconfproc,pct_hasconfproc,pct_perauthorconfproc,pct_totconfproc,pct_perfacultyconfproc,pct_pctfacultyconfproc,confprocwt
45B1BD4E01B2,Stony Brook AAU,24,9709,58,Boston University,"Economics, Department of",39,"Economics, General",17.5,0,167,18,34,18,4.91,33,1199,21,32,19.5,0.91,49,14,14,19,20,1115791,32,20,25.5,16,19,18,29.5,5,46,10,2.5,7.97,9.01,13.51,0.13,-1.11,58,17.39,3.6,0.46,-0.54,43,39.13,0.87,0.33,30,57.97,4.28,-0.12,35,50.72,0.82,0.08,39,44.93,30.74,-0.29,35,50.72,6.15,-0.14,33,53.62,0.36,0.68,17,76.81,0.49,0.13,25,65.22,28610.03,-0.36,39,44.93,58725.84,-0.54,54,23.19,0.51,-0.16,27,62.32,0.41,0.24,24,66.67,34.95,0,32.5,56.52,0,0,0.29,-0.56,0.58,0.72,0.67,-0.21,-0.33,-0.09,-0.27,-0.08,-0.24,0.33,0.35,0.67,75.36,37.68,73.91,81.16,75.36,53.62,30.43,65.22,59.42,71.01,55.07,72.46,75.36,76.81,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,35,5774,58,Case Western Reserve University,"Economics, Department of",11,"Economics, General",65.5,0,55,60,8,65.5,6.88,11,538,47,8,64.5,0.89,56,2,52,3,54.5,213477,54,3,54.5,3,50.5,12,41,1,66.5,10,2.5,7.97,9.01,13.51,0.09,-1.43,65.5,7.25,12,1.09,0.61,16,78.26,0.73,-1.05,60.5,14.49,5,0.3,20,72.46,0.73,-0.72,57.5,18.84,48.91,0.32,17,76.81,8.54,0.74,18,75.36,0.18,-0.3,35,50.72,0.27,-0.44,42.5,40.58,19407,-0.51,45,36.23,71159,-0.4,39,44.93,0.27,-0.51,46,34.78,0.27,-0.31,36,49.28,37.95,-0.2,37.5,47.83,0,0,-0.78,-1.23,-1.35,-0.73,-1.37,0.89,-0.71,-0.67,-0.51,-0.57,-0.68,-0.79,-0.95,-1.41,30.43,7.25,10.14,33.33,7.25,85.51,23.19,24.64,44.93,33.33,23.19,23.19,14.49,7.25,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,51,3972,58,Cornell University,"Labor Economics, Department of",12,"Economics, General",64,0,36,67,9,63.5,4,54,156,66,10,62,1,9,1,60.5,4,50,1300132,28,7,45.5,3,50.5,20,26,6,38.5,10,2.5,7.97,9.01,13.51,0.5,1.98,3.5,97.1,3.333333333,1.67,1.67,8,89.86,0.75,-0.84,58,18.84,3,-0.86,58.5,17.39,0.83,0.19,32.5,55.07,13,-0.87,63,10.14,3.55,-1.1,63,10.14,0.08,-0.84,54,23.19,0.33,-0.28,35.5,52.17,108344.33,0.91,7,91.3,325033,2.6,3,97.1,0.58,-0.05,24,66.67,0.25,-0.4,40,44.93,39.83,-0.4,42.5,42.03,0,0,-0.78,-0.39,-1.19,-0.85,-1.3,-0.72,0.94,-0.53,-0.19,-0.85,-0.15,-0.72,-1.17,-1.33,30.43,52.17,11.59,17.39,10.14,23.19,100,37.68,63.77,5.8,60.87,33.33,4.35,8.7,68,3/7/15 10:55,1,1,1,0.08,0.08,30.5,29.5,34,14,7,-0.04,-0.1,-0.31,0.02,1.07,73.91,76.81,63.77,81.16,91.3,0
45B1BD4E01B2,Stony Brook AAU,87,4253,58,Harvard University,"Economics, Department of",45,"Economics, General",10.5,0,380,2,43,6.5,8.84,2,6773,1,45,4.5,1,9,25,3.5,42,5,3094979,12,140,1,43,2,103,2,27,1,10,2.5,7.97,9.01,13.51,0.6,2.82,1,100,3.814814815,2.29,2.81,2,98.55,0.96,1.12,9,88.41,8.44,2.28,2,98.55,1,1.61,2,100,150.51,3.68,2,98.55,14.26,2.84,1,100,0.56,1.76,4,95.65,0.93,1.3,7,91.3,68777.31,0.28,17,76.81,73689.98,-0.37,37,47.83,3.11,3.71,2,98.55,0.96,2.41,1,100,4.1,2.1,1,100,0,0,2.5,3.12,1.63,2.04,1.37,1.99,0.94,4.01,3.09,4.02,0.72,1.94,2.82,1.12,98.55,100,95.65,97.1,92.75,98.55,100,100,98.55,100,84.06,94.2,98.55,86.96,68,3/7/15 10:55,2,2,1,0.04,0.04,13,29.5,20,28,19,0.83,-0.1,0.01,-0.14,0.2,89.86,76.81,79.71,60.87,73.91,0
45B1BD4E01B2,Stony Brook AAU,28,2504,58,Brown University,"Economics, Department of",28,"Economics, General",33,0,106,39,23,36,4.61,44,1067,26,23,32.5,1,9,10,20.5,15,23,858966,37,21,24,15,22,16,34,5,46,10,2.5,7.97,9.01,13.51,0.18,-0.69,51.5,27.54,3.2,0.57,-0.34,35,50.72,0.82,-0.16,45,36.23,3.79,-0.4,44,37.68,0.82,0.09,37.5,47.83,38.11,-0.04,27,62.32,8.4,0.69,21,71.01,0.36,0.67,18,75.36,0.54,0.25,23.5,68.12,30677.36,-0.33,38,46.38,57264.4,-0.56,55,21.74,0.75,0.2,18,75.36,0.54,0.74,19,73.91,33.69,0.1,28,63.77,0,0,0.21,-0.56,-0.14,0.23,-0.2,-0.38,0.94,-0.05,-0.35,-0.18,-0.36,0.05,-0.36,-0.15,71.01,37.68,59.42,73.91,50.72,37.68,100,66.67,52.17,63.77,47.83,71.01,44.93,55.07,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,49,5506,58,Columbia University,"Finance and Economics, Division of",57,"Economics, General",2.5,0,268,7,48,3,5.58,19,3180,8,49,3,0.98,19,4,37,5,45.5,991440,35,46,11,32,9,101,3,18,7,10,2.5,7.97,9.01,13.51,0.32,0.45,18.5,75.36,5.611111111,1.77,1.86,5,94.2,0.84,0.04,37,47.83,4.7,0.12,25,65.22,0.86,0.41,22,69.57,55.79,0.54,12,84.06,9.41,1.06,11,85.51,0.07,-0.91,56,20.29,0.09,-0.93,57,18.84,17393.68,-0.54,47,33.33,198288,1.1,8,89.86,0.81,0.28,16,78.26,0.56,0.84,14,81.16,21.51,0.9,15.5,79.71,0,0,1.6,1.61,1.95,-0.49,1.77,0.17,0.65,0.8,3.01,1.37,-0.3,-0.65,1.52,2.01,88.41,92.75,97.1,49.28,97.1,73.91,73.91,85.51,97.1,89.86,50.72,36.23,91.3,98.55,68,3/7/15 10:55,2,2,1,0.04,0.04,13,29.5,20,39,32,0.83,-0.1,0.01,-0.17,-0.01,89.86,76.81,79.71,44.93,55.07,0
45B1BD4E01B2,Stony Brook AAU,66,5941,58,Emory University,"Economics, Department of",17,"Economics, General",57.5,0,79,49,14,54.5,5.64,18,508,49,14,54.5,1,9,3,42.5,8,35.5,2313938,19,3,54.5,3,50.5,10,47.5,4,50.5,10,2.5,7.97,9.01,13.51,0.24,-0.22,39,44.93,2.5,0.59,-0.31,33,53.62,0.82,-0.13,43,40.58,4.65,0.09,26,63.77,0.82,0.1,34.5,52.17,29.88,-0.32,36,49.28,5.03,-0.55,42,40.58,0.18,-0.33,36,49.28,0.47,0.08,26,63.77,136114,1.35,5,94.2,289242.25,2.18,4,95.65,0.18,-0.66,55,21.74,0.18,-0.7,48,31.88,37.28,-0.2,37.5,47.83,0,0,-0.78,-0.73,-0.87,-0.61,-0.9,0.2,0.94,-0.67,-0.59,-0.59,0.34,-0.44,-0.67,-0.96,30.43,30.43,23.19,44.93,24.64,75.36,100,24.64,34.78,30.43,73.91,50.72,30.43,20.29,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,99,5694,58,Iowa State University,"Economics, Department of",41,"Economics, General",16,0,177,17,37,14.5,4.78,39,912,34,35,15.5,0.95,37,7,26,15,23,2490072,17,20,25.5,14,24.5,12,41,8,27.5,10,2.5,7.97,9.01,13.51,0.2,-0.56,47,33.33,1.5,0.29,-0.85,56,20.29,0.9,0.62,17,76.81,4.32,-0.1,33,53.62,0.85,0.36,26,63.77,22.24,-0.57,46,34.78,4.28,-0.83,52,26.09,0.17,-0.36,37,47.83,0.37,-0.2,31,56.52,60733.46,0.15,22,69.57,166004.8,0.72,11,85.51,0.49,-0.19,30,57.97,0.34,-0.04,29,59.42,34.57,0,32.5,56.52,0,0,0.13,-0.06,0.83,-0.13,0.9,-0.28,0.14,-0.09,-0.51,-0.29,0.43,0.05,0.47,0.82,66.67,65.22,79.71,66.67,81.16,44.93,47.83,65.22,44.93,52.17,76.81,71.01,76.81,78.26,68,3/7/15 10:55,9,1,9,0.22,0.02,30.5,1.5,4.5,3,39,-0.04,4.36,2.28,0.59,-0.25,73.91,100,95.65,97.1,44.93,0
45B1BD4E01B2,Stony Brook AAU,123,8936,58,Massachusetts Institute of Technology,"Economics, Department of",42,"Economics, General",14.5,0,283,5,41,10.5,6.9,10,3533,6,40,10.5,0.98,21.5,23,7,39,6.5,4366232,4,109,2,38,4,57,7,19,5,10,2.5,7.97,9.01,13.51,0.45,1.59,8,89.86,3,1.36,1.1,11,85.51,0.98,1.32,4.5,95.65,6.74,1.3,7,91.3,0.95,1.2,6.5,92.75,84.12,1.48,7,91.3,9.81,1.21,8,89.86,0.55,1.71,5,94.2,0.93,1.29,8,89.86,103957.9,0.84,8,89.86,111954.67,0.08,22,69.57,2.6,2.94,3,97.1,0.9,2.21,3,97.1,6.68,1.9,2,98.55,0,0,2.09,1.78,1.23,1.8,1.22,0.91,0.58,2.95,1.27,1.63,1.34,1.73,1.69,0.89,95.65,94.2,86.96,92.75,86.96,86.96,71.01,98.55,91.3,92.75,95.65,92.75,94.2,81.16,68,3/7/15 10:55,9,1,9,0.21,0.02,30.5,1.5,4.5,4,40,-0.04,4.36,2.28,0.57,-0.26,73.91,100,95.65,95.65,43.48,0
45B1BD4E01B2,Stony Brook AAU,153,9045,58,Northwestern University,"Economics, Department of",39,"Economics, General",17.5,0,136,27,35,17,3.89,58,1672,17,35,15.5,1,9,19,11,31,13,2109044,20,54,10,28,10,27,22,11,19,10,2.5,7.97,9.01,13.51,0.28,0.17,26,63.77,2.454545455,0.69,-0.12,28,60.87,0.9,0.57,21,71.01,3.49,-0.57,47,33.33,0.9,0.73,13,82.61,42.87,0.12,22,69.57,9.34,1.03,12,84.06,0.49,1.38,12,84.06,0.79,0.94,12,84.06,54078.05,0.04,25,65.22,68033.68,-0.43,42,40.58,1.38,1.14,8,89.86,0.72,1.46,8,89.86,21.6,0.9,15.5,79.71,0,0,1.27,0.44,0.83,1.32,0.74,-0.78,0.94,1.07,0.09,0.26,0.24,1.17,-0.01,0.67,86.96,76.81,79.71,85.51,76.81,17.39,100,86.96,69.57,76.81,72.46,82.61,62.32,76.81,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
