releaseid,releasename,institutionid,institutionname,programid,programname,facultycount,pub2010,pub2011,pub2012,pub2013,cit2009,cit2010,cit2011,cit2012,cit2013,book2004,book2005,book2006,book2007,book2008,book2009,book2010,book2011,book2012,book2013,grant2009,grant2010,grant2011,grant2012,grant2013,award2004,award2005,award2006,award2007,award2008,award2009,award2010,award2011,award2012,award2013,confproc2010,confproc2011,confproc2012,confproc2013,nsfdol,doeddol,doedol,nihdol,usdadol,noaadol,ahadol,armydol,faadol,nasadol,navydol,acsdol,hhsdol,afrodol,epadol,neadol,nehdol,acsnum,hhsnum,afronum,epanum,neanum,nehnum,nsfnum,doednum,nihnum,usdanum,noaanum,ahanum,armynum,faanum,nasanum,navynum,doenum,createddate
"20150223.397","AAD2013.04.397",1,"Adelphi University",1,"Clinical Psychology",28,37,52,47,43,266,199,331,121,50,3,3,3,3,3,5,4,0,5,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,101784.00,0.00,0.00,688868.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",1,"Adelphi University",9101,"Nursing",23,14,4,4,9,36,35,7,9,6,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",1,"Adelphi University",2,"Social Work",29,22,22,20,19,67,74,33,32,9,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",2,"Air Force Institute of Technology",3,"Aeronautical Engineering",24,22,28,27,22,193,83,68,48,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,45,36,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",2,"Air Force Institute of Technology",5,"Applied Mathematics",15,9,12,14,18,58,27,40,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,10,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",2,"Air Force Institute of Technology",12129,"Applied Physics",20,22,24,19,33,112,135,91,42,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,32,27,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",2,"Air Force Institute of Technology",12130,"Astronautical Engineering",24,22,28,27,22,193,83,68,48,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,45,36,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",2,"Air Force Institute of Technology",6,"Computer Engineering",36,30,31,36,30,103,62,34,32,24,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,43,49,56,46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",2,"Air Force Institute of Technology",12131,"Computer Science",36,30,31,36,30,103,62,34,32,24,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,43,49,56,46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",2,"Air Force Institute of Technology",12132,"Electrical Engineering",36,30,31,36,30,103,62,34,32,24,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,43,49,56,46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
